case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-0e0,0,cholesky,gradient-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,qr,gradient-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-cholesky,gradient-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-qr,gradient-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,minpack,gradient-only,inf,true,1,0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"ResidualsZero","[0.0, 0.0]"
collinear-0e0,0,cholesky,model-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,qr,model-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-cholesky,model-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-qr,model-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,minpack,model-only,inf,true,1,0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"ResidualsZero","[0.0, 0.0]"
collinear-0e0,0,cholesky,step-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
