case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
scaled,0,minpack,gradient-only,1.00000000e16,true,23,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"ResidualsZero","[1.0, 1.0, 1.0]"
scaled,0,trust-cholesky,step-only,1.00000000e16,true,23,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,0,trust-qr,step-only,1.00000000e16,true,22,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,0,minpack,step-only,1.00000000e16,true,23,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"ResidualsZero","[1.0, 1.0, 1.0]"
scaled,0,trust-cholesky,radius-only,1.00000000e16,true,23,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,0,trust-qr,radius-only,1.00000000e16,true,22,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,0,minpack,radius-only,1.00000000e16,true,23,22,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"ResidualsZero","[1.0, 1.0, 1.0]"
scaled,1,trust-cholesky,gradient-only,1.00000000e16,true,2,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,1,trust-qr,gradient-only,1.00000000e16,true,2,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, 1.0, 1.0]"
scaled,1,minpack,gradient-only,1.00000000e16,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"ResidualsZero","[1.0, 1.0, 1.0]"
