case,start,solver,profile,row,boundary,residual_calls,jacobian_calls,trial_evaluated,accepted,trial_unchanged,base_residual_norm,base_relative_residual,base_gradient_inf,base_orthogonality,base_equivalent_parameter_error,actual_relative_reduction,reconstructed_linear_relative_reduction,reconstructed_relative_step,reconstructed_scaled_relative_step,svd_rank,svd_relative_model_potential,svd_relative_step,svd_scaled_relative_step,reason
collinear-1e-8,0,trust-qr,gradient-only,boundary,2,3,2,true,true,false,3.8459253727671276e-16,2.7194799124524506e-8,6.6613381477509392e-16,1.0000000000000002e0,2.2368082941426337e-9,1.0000000000000000e0,1.0000000000000002e0,1.5700924551717795e-16,1.5700924551717797e-16,2,1.0000000000000000e0,1.1102230221418010e-16,1.1102230221418011e-16,None
collinear-1e-8,0,trust-qr,gradient-only,boundary,3,3,3,false,false,false,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,2.2368080720980288e-9,,,,,2,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,Some(SolverConverged)
collinear-1e-8,0,trust-qr,gradient-only,final,3,3,3,false,false,false,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,2.2368080720980288e-9,,,,,2,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,Some(SolverConverged)
collinear-1e-8,1,nielsen-cholesky,relative,boundary,1,2,1,true,true,false,5.1961524227066320e0,3.6742346161087221e8,9.0000000000000000e0,1.0000000000000000e0,2.0000000000000000e0,9.9999975024981258e-1,9.9999975024981258e-1,2.9984973796879113e0,2.9984973796879113e0,2,9.9999999999999956e-1,1.5811388360973684e0,1.5811388360973684e0,None
collinear-1e-8,1,nielsen-cholesky,relative,boundary,2,3,2,true,true,false,2.5967778224513065e-3,1.8361992084566495e5,4.4977511244371103e-3,9.9999999999630362e-1,5.0074962518733956e-1,9.9999997222406434e-1,9.9999997222406400e-1,1.4990005413883993e-3,1.4990005413883991e-3,2,9.9999999999999944e-1,1.0014992429270619e0,1.0014992429270617e0,None
collinear-1e-8,1,nielsen-cholesky,relative,boundary,3,4,3,true,true,false,4.3278195269793675e-7,3.0602305368894374e1,7.4950027072481436e-7,9.9986651560466511e-1,5.0000012491659529e-1,9.9973304581171318e-1,9.9973304580875999e-1,2.4981954466212469e-7,2.4981954466212474e-7,2,9.9999999999999978e-1,1.0000002564532922e0,1.0000002564532919e0,None
collinear-1e-8,1,nielsen-cholesky,relative,boundary,4,5,4,true,true,false,7.0711086695973778e-9,5.0000288934110859e-1,4.1636738581366046e-11,3.3996058258142781e-3,5.0000000000667300e-1,1.1557264253482075e-5,1.1557293810385328e-5,1.3907823386278688e-11,1.3907823386278690e-11,2,1.0000000000000007e0,1.0000000011016978e0,1.0000000011016978e0,None
collinear-1e-8,1,nielsen-cholesky,relative,boundary,5,6,5,true,true,false,7.0710678081435859e-9,5.0000000000000056e-1,7.1062266357571322e-16,5.8022097515486593e-8,4.9999999999928368e-1,2.4651903314107906e-15,5.4030340719690073e-12,2.7000624050073454e-12,2.7000624050073446e-12,2,1.0000000000000007e0,1.0000000011007979e0,1.0000000011007979e0,None
collinear-1e-8,1,nielsen-cholesky,relative,boundary,6,7,6,true,false,false,7.0710678081435776e-9,5.0000000000000000e-1,5.5511151231257827e-17,4.5324665132184805e-9,4.9999999999793354e-1,0.0000000000000000e0,2.7036150948728193e-12,1.3518075547780039e-12,1.3518075547780033e-12,2,1.0000000000000004e0,1.0000000010980978e0,1.0000000010980976e0,None
collinear-1e-8,1,nielsen-cholesky,relative,boundary,7,8,6,true,false,false,7.0710678081435776e-9,5.0000000000000000e-1,5.5511151231257827e-17,4.5324665132184805e-9,4.9999999999793354e-1,0.0000000000000000e0,1.3518075474368664e-12,6.7590377738900195e-13,6.7590377738900165e-13,2,1.0000000000000004e0,1.0000000010980978e0,1.0000000010980976e0,Some(SolverConverged)
